end_time,duration_hours,rainfall_in_mm
2021-08-26 09:00:00,24,27.8
2021-08-27 09:00:00,24,53.7
2021-08-28 09:00:00,24,12.2
2021-09-05 09:00:00,24,24.3
2021-09-22 09:00:00,24,16.8
2021-09-25 09:00:00,24,9.8
2021-09-27 06:00:00,21,24.5
2021-09-27 09:00:00,24,24.5
2021-09-28 09:00:00,24,30.0
2021-10-02 09:00:00,24,55.0
2021-10-06 09:00:00,24,80.1
2021-10-07 09:00:00,24,0.5
2021-10-08 09:00:00,24,0.0
2021-10-21 09:00:00,24,33.0
2021-10-27 09:00:00,24,21.2
2021-11-01 09:00:00,24,56.1
2021-11-02 09:00:00,24,4.5
2021-11-03 09:00:00,24,5.0
2021-11-04 09:00:00,24,14.0
2021-11-05 09:00:00,24,1.0
2021-11-07 09:00:00,24,32.0
2021-11-08 18:00:00,9,52.4
2021-11-08 21:00:00,12,64.0
2021-11-09 00:00:00,15,67.0
2021-11-09 03:00:00,18,70.7
2021-11-09 06:00:00,21,79.0
2021-11-09 09:00:00,24,79.5
2021-11-09 12:00:00,3,0.0
2021-11-09 18:00:00,9,0.0
2021-11-10 00:00:00,15,1.0
2021-11-10 06:00:00,21,29.6
2021-11-10 09:00:00,24,31.2
2021-11-10 12:00:00,3,2.4
2021-11-10 15:00:00,6,2.4
2021-11-10 18:00:00,9,2.4
2021-11-11 06:00:00,21,12.2
2021-11-11 09:00:00,24,18.3
2021-11-11 12:00:00,3,0.0
2021-11-11 15:00:00,6,0.0
2021-11-12 09:00:00,24,14.4
2021-11-13 09:00:00,24,10.7
2021-11-14 09:00:00,24,29.5
2021-11-15 09:00:00,24,61.8
2021-11-16 09:00:00,24,82.1
2021-11-20 09:00:00,24,26.3
2021-11-25 09:00:00,24,30.5
2021-11-27 09:00:00,24,1.5
2021-11-28 09:00:00,24,49.2
2021-11-29 09:00:00,24,1.2
2021-11-30 09:00:00,24,0.0
2021-12-01 09:00:00,24,0.0
2021-12-02 09:00:00,24,0.0
2021-12-05 09:00:00,24,0.0
2021-12-07 09:00:00,24,45.8
2021-12-08 09:00:00,24,1.2
2021-12-19 09:00:00,24,0.0
2021-12-20 09:00:00,24,0.0
2022-01-10 09:00:00,24,15.0
2022-01-13 09:00:00,24,1.7
2022-02-13 09:00:00,24,28.2
2022-04-09 09:00:00,24,14.5
2022-04-10 09:00:00,24,76.4
2022-04-11 09:00:00,24,18.5
2022-04-16 09:00:00,24,0.0
2022-04-24 09:00:00,24,2.6
2022-05-05 09:00:00,24,22.8
2022-05-06 09:00:00,24,0.0
2022-05-07 09:00:00,24,0.0
2022-05-11 09:00:00,24,13.3
2022-05-12 09:00:00,24,9.2
2022-05-13 09:00:00,24,60.6
2022-05-14 09:00:00,24,15.2
2022-05-15 09:00:00,24,20.5
2022-05-16 09:00:00,24,12.5
2022-05-17 09:00:00,24,12.8
2022-05-18 09:00:00,24,29.2
2022-05-20 09:00:00,24,8.2
2022-05-21 09:00:00,24,1.2
2022-05-22 09:00:00,24,0.5
2022-05-25 09:00:00,24,26.5
2022-05-26 09:00:00,24,1.7
2022-05-27 09:00:00,24,8.5
2022-05-28 09:00:00,24,7.9
2022-05-29 09:00:00,24,16.5
2022-05-30 09:00:00,24,34.2
2022-05-31 09:00:00,24,134.8
2022-05-31 15:00:00,6,48.9
2022-05-31 18:00:00,9,51.5
2022-05-31 21:00:00,12,51.5
2022-06-01 00:00:00,15,52.0
2022-06-01 03:00:00,18,52.0
2022-06-01 06:00:00,21,52.0
2022-06-01 09:00:00,24,53.0
2022-06-01 15:00:00,6,7.7
2022-06-01 18:00:00,9,7.7
2022-06-01 21:00:00,12,7.7
2022-06-02 09:00:00,24,134.0
2022-06-02 12:00:00,3,0.0
2022-06-02 22:00:00,13,1.7
2022-06-03 09:00:00,24,4.9
2022-06-03 21:00:00,12,0.8
2022-06-04 06:00:00,21,2.9
2022-06-04 15:00:00,6,0.0
2022-06-07 09:00:00,24,8.0
2022-06-10 09:00:00,24,6.4
2022-07-03 09:00:00,24,7.9
2022-07-04 09:00:00,24,0.0
2022-07-22 09:00:00,24,4.7
2022-08-01 09:00:00,24,5.4
2022-08-01 15:00:00,6,3.0
2022-08-01 18:00:00,9,3.0
2022-08-01 21:00:00,12,4.8
2022-08-02 00:00:00,15,5.3
2022-08-02 03:00:00,18,6.8
2022-08-02 09:00:00,24,9.7
2022-08-02 12:00:00,3,1.5
2022-08-03 03:00:00,18,21.3
2022-08-03 06:00:00,21,21.3
2022-08-03 09:00:00,24,12.5
2022-08-03 12:00:00,3,0.0
2022-08-03 15:00:00,6,0.2
2022-08-03 18:00:00,9,14.2
2022-08-03 21:00:00,12,14.2
2022-08-04 06:00:00,21,14.7
2022-08-04 09:00:00,24,16.5
2022-08-04 12:00:00,3,0.0
2022-08-04 15:00:00,6,0.0
2022-08-04 21:00:00,12,8.0
2022-08-05 06:00:00,21,8.5
2022-08-05 09:00:00,24,13.0
2022-08-05 12:00:00,3,7.7
2022-08-05 15:00:00,6,7.7
2022-08-05 18:00:00,9,7.7
2022-08-06 09:00:00,24,10.1
2022-08-07 09:00:00,24,2.8
2022-08-08 09:00:00,24,0.0
2022-08-27 09:00:00,24,8.9
2022-08-31 09:00:00,24,75.6
2022-08-31 18:00:00,9,27.1
2022-08-31 21:00:00,12,29.7
2022-09-01 00:00:00,15,30.4
2022-09-01 03:00:00,18,38.1
2022-09-01 06:00:00,21,50.1
2022-09-01 12:00:00,3,3.2
2022-09-01 15:00:00,6,4.8
2022-09-01 18:00:00,9,5.3
2022-09-01 21:00:00,12,5.9
2022-09-02 00:00:00,15,8.7
2022-09-02 03:00:00,18,8.7
2022-09-02 06:00:00,21,11.8
2022-09-02 12:00:00,3,0.0
2022-09-02 15:00:00,6,0.0
2022-09-02 18:00:00,9,0.0
2022-09-03 09:00:00,24,0.0
2022-09-03 12:00:00,3,0.0
2022-09-03 15:00:00,6,0.0
2022-09-04 08:30:00,24,5.4
2022-09-04 12:00:00,3,0.5
2022-09-04 15:00:00,6,0.5
2022-09-05 08:30:00,24,141.7
2022-09-05 15:00:00,6,25.8
2022-09-05 18:00:00,9,41.8
2022-09-05 21:00:00,12,42.5
2022-09-06 00:00:00,3,7.3
2022-09-06 03:00:00,3,0.0
2022-09-06 06:00:00,3,0.0
2022-09-06 08:30:00,24,54.7
2022-09-06 12:00:00,3,0.2
2022-09-06 15:00:00,6,0.2
2022-09-06 18:00:00,9,0.2
2022-09-06 21:00:00,12,0.2
2022-09-07 00:00:00,15,0.2
2022-09-07 03:00:00,18,0.2
2022-09-07 06:00:00,21,0.2
2022-09-07 08:30:00,24,0.4
2022-09-07 12:00:00,3,0.5
2022-09-07 15:00:00,6,0.5
2022-09-08 08:30:00,24,1.9
2022-09-08 12:00:00,3,0.0
2022-09-09 08:30:00,24,0.0
2022-09-10 08:30:00,24,0.0
2022-10-13 08:30:00,24,69.2
2022-10-14 08:30:00,24,235.7
2022-10-14 21:00:00,12,144.1
2022-10-15 00:00:00,15,144.1
2022-10-15 03:00:00,18,144.1
2022-10-15 06:00:00,21,144.1
2022-10-15 08:30:00,24,144.1
2022-10-15 12:00:00,3,17.3
2022-10-15 15:00:00,6,18.5
2022-10-15 18:00:00,9,18.5
2022-10-15 21:00:00,12,18.5
2022-10-16 00:00:00,15,18.7
2022-10-16 03:00:00,18,18.7
2022-10-16 06:00:00,21,19.7
2022-10-16 08:30:00,24,19.7
2022-10-16 12:00:00,3,4.2
2022-10-16 15:00:00,6,4.2
2022-10-16 18:00:00,9,4.2
2022-10-16 21:00:00,12,4.2
2022-10-17 00:00:00,15,4.2
2022-10-17 03:00:00,18,4.2
2022-10-17 06:00:00,21,17.6
2022-10-17 08:30:00,24,28.9
2022-10-17 12:00:00,3,2.0
2022-10-17 18:00:00,9,2.0
2022-10-18 08:00:00,1,4.3
2022-10-18 08:30:00,24,29.0
2022-10-18 12:00:00,3,6.2
2022-10-18 15:00:00,6,12.8
2022-10-18 18:00:00,9,27.8
2022-10-19 08:30:00,24,31.3
2022-10-19 15:00:00,6,0.9
2022-10-20 08:30:00,24,2.9
2022-10-21 08:30:00,24,38.9
2022-10-22 08:30:00,24,9.3
2022-10-23 08:30:00,24,31.4
2022-10-26 08:30:00,24,17.7
2022-10-27 08:30:00,24,3.5
2022-10-30 08:30:00,24,2.8
2022-10-31 08:30:00,24,5.7
