end_time,duration_hours,rainfall_in_mm,flood_status,station_id,station_name
2021-03-27 09:00:00,24,2.2,Unknown,40,manampitiya(old)
2021-04-23 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-04-30 09:00:00,24,43.6,Unknown,40,manampitiya(old)
2021-05-02 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-04 09:00:00,24,5.8,Unknown,40,manampitiya(old)
2021-05-05 09:00:00,24,0.8,Unknown,40,manampitiya(old)
2021-05-06 09:00:00,24,4.5,Unknown,40,manampitiya(old)
2021-05-07 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-08 09:00:00,24,1.7,Unknown,40,manampitiya(old)
2021-05-09 09:00:00,24,1.7,Unknown,40,manampitiya(old)
2021-05-10 09:00:00,24,1.4,Unknown,40,manampitiya(old)
2021-05-12 09:00:00,24,18.5,Unknown,40,manampitiya(old)
2021-05-14 09:00:00,24,2.0,Unknown,40,manampitiya(old)
2021-05-15 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-16 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-17 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-18 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-24 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-24 15:00:00,6,0.0,Unknown,40,manampitiya(old)
2021-05-25 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-26 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-27 09:00:00,24,1.1,Unknown,40,manampitiya(old)
2021-05-28 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-29 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-30 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-05-31 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-06-03 09:00:00,24,0.6,Unknown,40,manampitiya(old)
2021-06-04 09:00:00,24,41.2,Unknown,40,manampitiya(old)
2021-06-05 03:00:00,18,0.0,Unknown,40,manampitiya(old)
2021-06-05 06:00:00,21,0.0,Unknown,40,manampitiya(old)
2021-06-06 09:00:00,24,2.5,Unknown,40,manampitiya(old)
2021-06-07 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-06-08 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-06-09 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-06-10 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-06-14 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-07-02 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-07-10 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-07-11 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-07-12 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-08-09 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-08-13 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-08-26 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-08-27 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-08-28 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-09-05 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-09-22 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-09-27 06:00:00,21,0.0,Unknown,40,manampitiya(old)
2021-09-27 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-09-28 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-10-02 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-10-06 09:00:00,24,5.4,Unknown,40,manampitiya(old)
2021-10-21 09:00:00,24,3.9,Unknown,40,manampitiya(old)
2021-10-27 09:00:00,24,0.6,Unknown,40,manampitiya(old)
2021-11-01 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-02 09:00:00,24,58.3,No Flood,40,manampitiya(old)
2021-11-03 09:00:00,24,6.4,No Flood,40,manampitiya(old)
2021-11-04 09:00:00,24,21.3,No Flood,40,manampitiya(old)
2021-11-05 09:00:00,24,2.6,No Flood,40,manampitiya(old)
2021-11-07 09:00:00,24,10.0,No Flood,40,manampitiya(old)
2021-11-09 09:00:00,24,8.6,No Flood,40,manampitiya(old)
2021-11-10 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-11 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-12 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-13 09:00:00,24,1.4,No Flood,40,manampitiya(old)
2021-11-14 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-15 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-16 09:00:00,24,0.0,No Flood,40,manampitiya(old)
2021-11-20 09:00:00,24,0.0,Unknown,40,manampitiya(old)
2021-11-25 09:00:00,24,18.2,No Flood,40,manampitiya(old)
2021-11-27 09:00:00,24,7.0,No Flood,40,manampitiya(old)
2021-11-28 09:00:00,24,16.9,No Flood,40,manampitiya(old)
2021-11-29 09:00:00,24,2.5,No Flood,40,manampitiya(old)
2021-11-30 09:00:00,24,5.3,No Flood,40,manampitiya(old)
