recorded_at,unit,water_level,flood_status
2021-11-13 08:00:00,m,0.79,No Flood
2021-11-13 09:00:00,m,0.91,No Flood
2021-11-14 08:00:00,m,0.53,No Flood
2021-11-14 09:00:00,m,0.5,No Flood
2021-11-15 08:00:00,m,0.11,No Flood
2021-11-15 09:00:00,m,0.06,No Flood
2021-11-16 08:00:00,m,0.17,No Flood
2021-11-16 09:00:00,m,0.15,No Flood
2021-11-20 08:00:00,m,,No Flood
2021-11-20 09:00:00,m,,No Flood
2021-11-25 08:00:00,m,1.73,No Flood
2021-11-25 09:00:00,m,1.72,No Flood
2021-11-27 08:00:00,m,0.44,No Flood
2021-11-27 09:00:00,m,0.54,No Flood
2021-11-28 08:00:00,m,2.28,No Flood
2021-11-28 09:00:00,m,2.23,No Flood
2021-11-29 08:00:00,m,0.92,No Flood
2021-11-29 09:00:00,m,0.81,No Flood
2021-11-30 08:00:00,m,0.41,No Flood
2021-11-30 09:00:00,m,0.4,No Flood
2021-12-01 08:00:00,m,0.36,No Flood
2021-12-01 09:00:00,m,0.36,No Flood
2021-12-02 08:00:00,m,0.2,No Flood
2021-12-02 09:00:00,m,0.2,No Flood
2021-12-05 08:00:00,m,0.62,No Flood
2021-12-05 09:00:00,m,0.69,No Flood
2021-12-07 08:00:00,m,0.1,No Flood
2021-12-07 09:00:00,m,0.1,No Flood
2021-12-08 08:00:00,m,0.24,No Flood
2021-12-08 09:00:00,m,0.28,No Flood
2021-12-19 08:00:00,m,0.97,No Flood
2021-12-19 09:00:00,m,0.97,No Flood
2021-12-20 08:00:00,m,0.44,No Flood
2021-12-20 09:00:00,m,0.42,No Flood
2022-01-10 08:00:00,m,0.44,No Flood
2022-01-10 09:00:00,m,0.5,No Flood
2022-01-13 08:00:00,m,,No Flood
2022-01-13 09:00:00,m,,No Flood
2022-02-13 08:00:00,m,0.34,No Flood
2022-02-13 09:00:00,m,0.42,No Flood
2022-04-09 08:00:00,m,0.79,No Flood
2022-04-09 09:00:00,m,0.84,No Flood
2022-04-10 08:00:00,m,,No Flood
2022-04-10 09:00:00,m,,No Flood
2022-04-11 08:00:00,m,,No Flood
2022-04-11 09:00:00,m,,No Flood
2022-04-16 08:00:00,m,,No Flood
2022-04-16 09:00:00,m,,No Flood
2022-04-24 08:00:00,m,,No Flood
2022-04-24 09:00:00,m,,No Flood
2022-05-05 08:00:00,m,,No Flood
2022-05-05 09:00:00,m,,No Flood
2022-05-06 08:00:00,m,,No Flood
2022-05-06 09:00:00,m,,No Flood
2022-05-07 08:00:00,m,,No Flood
2022-05-07 09:00:00,m,,No Flood
2022-05-11 08:00:00,m,,No Flood
2022-05-11 09:00:00,m,,No Flood
2022-05-12 08:00:00,m,,No Flood
2022-05-12 09:00:00,m,,No Flood
2022-05-13 08:00:00,m,,No Flood
2022-05-13 09:00:00,m,,No Flood
2022-05-14 08:00:00,m,,No Flood
2022-05-14 09:00:00,m,,No Flood
2022-05-15 08:00:00,m,,No Flood
2022-05-15 09:00:00,m,,No Flood
2022-05-16 08:00:00,m,,No Flood
2022-05-16 09:00:00,m,,No Flood
2022-05-17 08:00:00,m,,No Flood
2022-05-17 09:00:00,m,,No Flood
2022-05-18 08:00:00,m,,No Flood
2022-05-18 09:00:00,m,,No Flood
2022-05-20 08:00:00,m,,No Flood
2022-05-20 09:00:00,m,,No Flood
2022-05-21 08:00:00,m,,No Flood
2022-05-21 09:00:00,m,,No Flood
2022-05-22 08:00:00,m,,No Flood
2022-05-22 09:00:00,m,,No Flood
2022-05-25 08:00:00,m,,No Flood
2022-05-25 09:00:00,m,,No Flood
2022-05-26 08:00:00,m,,No Flood
2022-05-26 09:00:00,m,,No Flood
2022-05-27 08:00:00,m,,No Flood
2022-05-27 09:00:00,m,,No Flood
2022-05-28 08:00:00,m,,No Flood
2022-05-28 09:00:00,m,,No Flood
2022-05-29 08:00:00,m,,No Flood
